Conferência Leste,Conferência Oeste
Cleveland Cavaliers,Oklahoma City Thunder
Boston Celtics,Memphis Grizzlies
ew York Knicks,Denver Nuggets
Indiana Pacers,Houston Rockets
Milwaukee Bucks,Los Angeles Lakers
Detroit Pistons,LA Clippers
Orlando Magic,Minnesota Timberwolves
Atlanta Hawks,Dallas Mavericks
Miami Heat,Sacramento Kings
Chicago Bulls,olden State Warriors
Philadelphia 76ers,Phoenix Suns
Brooklyn Nets,an Antonio Spurs
Toronto Raptors,Portland Trail Blazers
Charlotte Hornets,HUtah Jazz
Washington Wizards,ew Orleans Pelicans
