Data,Adversário,Vitória ou Derrota,Casa ou Fora,Placar,Temporada
"Thu, Oct 26",Philadelphia,Vitória,Casa,118-117,2024
"Sun, Oct 29",Atlanta,Derrota,Casa,127-110,2024
"Mon, Oct 30",Miami,Vitória,Casa,122-114,2024
"Wed, Nov 1",Toronto,Derrota,Fora,130-111,2024
"Fri, Nov 3",New York,Vitória,Casa,110-105,2024
"Mon, Nov 6",Brooklyn,Vitória,Fora,129-125,2024
"Wed, Nov 8",Detroit,Vitória,Casa,120-118,2024
"Thu, Nov 9",Indiana,Derrota,Fora,126-124,2024
"Sat, Nov 11",Orlando,Derrota,Fora,112-97,2024
"Mon, Nov 13",Chicago,Vitória,Casa,118-109,2024
"Wed, Nov 15",Toronto,Vitória,Fora,128-112,2024
"Fri, Nov 17",Charlotte,Vitória,Fora,130-99,2024
"Sat, Nov 18",Dallas,Vitória,Casa,132-125,2024
"Mon, Nov 20",Washington,Vitória,Fora,142-129,2024
"Wed, Nov 22",Boston,Derrota,Fora,119-116,2024
"Fri, Nov 24",Washington,Vitória,Casa,131-128,2024
"Sun, Nov 26",Portland,Vitória,Casa,108-102,2024
"Tue, Nov 28",Miami,Vitória,Fora,131-124,2024
"Thu, Nov 30",Chicago,Derrota,Fora,120-113,2024
"Sat, Dec 2",Atlanta,Vitória,Casa,132-121,2024
"Tue, Dec 5",New York,Vitória,Casa,146-122,2024
"Thu, Dec 7",Indiana,Derrota,Casa,128-119,2024
"Mon, Dec 11",Chicago,Vitória,Casa,133-129,2024
"Wed, Dec 13",Indiana,Vitória,Casa,140-126,2024
"Sat, Dec 16",Detroit,Vitória,Casa,146-114,2024
"Sun, Dec 17",Houston,Vitória,Casa,128-119,2024
"Tue, Dec 19",San Antonio,Vitória,Casa,132-119,2024
"Thu, Dec 21",Orlando,Vitória,Casa,118-114,2024
"Sat, Dec 23",New York,Vitória,Fora,130-111,2024
"Mon, Dec 25",New York,Derrota,Fora,129-122,2024
"Wed, Dec 27",Brooklyn,Vitória,Fora,144-122,2024
"Fri, Dec 29",Cleveland,Vitória,Fora,119-111,2024
"Mon, Jan 1",Indiana,Derrota,Casa,122-113,2024
"Wed, Jan 3",Indiana,Derrota,Fora,142-130,2024
"Thu, Jan 4",San Antonio,Vitória,Fora,125-121,2024
"Sat, Jan 6",Houston,Derrota,Fora,112-108,2024
"Mon, Jan 8",Utah,Derrota,Casa,132-116,2024
"Thu, Jan 11",Boston,Vitória,Casa,135-102,2024
"Sat, Jan 13",Golden State,Vitória,Casa,129-118,2024
"Sun, Jan 14",Sacramento,Vitória,Casa,143-142,2024
"Wed, Jan 17",Cleveland,Derrota,Fora,135-95,2024
"Sat, Jan 20",Detroit,Vitória,Fora,141-135,2024
"Mon, Jan 22",Detroit,Vitória,Fora,122-113,2024
"Wed, Jan 24",Cleveland,Vitória,Casa,126-116,2024
"Fri, Jan 26",Cleveland,Derrota,Casa,112-100,2024
"Sat, Jan 27",New Orleans,Vitória,Casa,141-117,2024
"Mon, Jan 29",Denver,Derrota,Fora,113-107,2024
"Wed, Jan 31",Portland,Derrota,Fora,119-116,2024
"Sat, Feb 3",Dallas,Vitória,Fora,129-117,2024
"Sun, Feb 4",Utah,Derrota,Fora,123-108,2024
"Tue, Feb 6",Phoenix,Derrota,Fora,114-106,2024
"Thu, Feb 8",Minnesota,Derrota,Casa,129-105,2024
"Fri, Feb 9",Charlotte,Vitória,Casa,120-84,2024
"Mon, Feb 12",Denver,Vitória,Casa,112-95,2024
"Tue, Feb 13",Miami,Derrota,Casa,123-97,2024
"Thu, Feb 15",Memphis,Derrota,Fora,113-110,2024
