ID,Nome,Altura,Peso,Idade,Experiência,Posição,Universidade,Salário
1631260,AJ Green,6-4,190,25,2,G,Northern Iowa,"$2,120,693"
1641748,Andre Jackson Jr.,6-6,209,23,1,G,Connecticut,"$1,891,857"
1626171,Bobby Portis,6-10,250,30,9,F,Arkansas,"$12,578,286"
201572,Brook Lopez,7-1,282,36,16,C,Stanford,"$23,000,000"
1641753,Chris Livingston,6-6,220,21,1,F,Kentucky,"$1,891,857"
203081,Damian Lillard,6-2,195,34,12,G,Weber State,"$48,787,676"
1629018,Gary Trent Jr.,6-5,204,26,6,G,Duke,"$2,087,519"
203507,Giannis Antetokounmpo,6-11,243,30,11,F,Filathlitikos,"$48,787,676"
1630579,Jericho Sims,6-10,250,26,3,C,Texas,"$2,092,344"
1629645,Kevin Porter Jr.,6-4,203,24,4,G-F,Southern California,"$2,237,691"
1628398,Kyle Kuzma,6-9,221,29,7,F,Utah,"$23,522,727"
1641857,Liam Robbins,7-0,250,25,0,C,Vanderbilt,--
1626192,Pat Connaughton,6-5,209,32,9,G,Notre Dame,"$9,423,869"
1631157,Ryan Rollins,6-3,180,22,2,G,Toledo,--
1630649,Stanley Umude,6-6,210,25,2,G,Arkansas,"$2,120,693"
1627752,Taurean Prince,6-6,218,30,8,F,Baylor,"$2,087,519"
1641890,Tyler Smith,6-9,224,20,0,F,NBA G League Ignite,"$1,157,153"
