Game ID,Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Placar do Jogo,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
0012400008,Oct 6,Detroit Pistons,D,Fora,8,4,0,120 - 87,5,2,15:18
0012400008,Oct 6,Detroit Pistons,D,Fora,15,2,4,120 - 87,6,4,17:18
0012400008,Oct 6,Detroit Pistons,D,Fora,0,0,0,120 - 87,0,0,
0012400028,Oct 10,Los Angeles Lakers,D,Casa,20,7,2,107 - 102,0,0,19:55
0012400028,Oct 10,Los Angeles Lakers,D,Casa,0,1,2,107 - 102,1,0,13:28
0012400028,Oct 10,Los Angeles Lakers,D,Casa,8,4,4,107 - 102,3,1,18:56
0012400048,Oct 14,Chicago Bulls,V,Casa,24,10,4,107 - 111,0,0,23:00
0012400048,Oct 14,Chicago Bulls,V,Casa,11,4,1,107 - 111,3,2,25:19
0012400048,Oct 14,Chicago Bulls,V,Casa,20,5,9,107 - 111,6,2,27:09
0012400062,Oct 17,Dallas Mavericks,D,Fora,0,0,0,109 - 84,0,0,
0012400062,Oct 17,Dallas Mavericks,D,Fora,0,0,0,109 - 84,0,0,
0012400062,Oct 17,Dallas Mavericks,D,Fora,0,0,0,109 - 84,0,0,
0022400066,Oct 23,Philadelphia 76ers,V,Fora,25,14,7,109 - 124,0,0,31:12
0022400066,Oct 23,Philadelphia 76ers,V,Fora,10,8,6,109 - 124,6,1,35:32
0022400066,Oct 23,Philadelphia 76ers,V,Fora,30,9,6,109 - 124,12,6,38:18
0022400083,Oct 25,Chicago Bulls,D,Casa,38,11,5,133 - 122,1,0,35:08
0022400083,Oct 25,Chicago Bulls,D,Casa,7,4,1,133 - 122,6,1,29:24
0022400083,Oct 25,Chicago Bulls,D,Casa,28,4,8,133 - 122,12,3,35:46
0022400098,Oct 27,Brooklyn Nets,D,Fora,22,12,7,115 - 102,0,0,33:19
0022400098,Oct 27,Brooklyn Nets,D,Fora,15,4,0,115 - 102,5,3,28:58
0022400098,Oct 27,Brooklyn Nets,D,Fora,21,4,4,115 - 102,7,1,32:04
0022400104,Oct 28,Boston Celtics,D,Fora,30,10,6,119 - 108,2,0,39:05
0022400104,Oct 28,Boston Celtics,D,Fora,13,6,0,119 - 108,4,0,32:10
0022400104,Oct 28,Boston Celtics,D,Fora,33,7,7,119 - 108,8,2,35:32
0022400128,Oct 31,Memphis Grizzlies,D,Fora,37,11,4,122 - 99,0,0,33:31
0022400128,Oct 31,Memphis Grizzlies,D,Fora,12,3,1,122 - 99,6,3,23:34
0022400128,Oct 31,Memphis Grizzlies,D,Fora,4,2,6,122 - 99,6,0,33:21
0022400145,Nov 2,Cleveland Cavaliers,D,Casa,34,16,9,114 - 113,0,0,38:52
0022400145,Nov 2,Cleveland Cavaliers,D,Casa,6,6,2,114 - 113,7,2,34:32
0022400145,Nov 2,Cleveland Cavaliers,D,Casa,41,4,9,114 - 113,15,10,38:34
0022400154,Nov 4,Cleveland Cavaliers,D,Fora,13,6,0,116 - 114,5,1,35:44
0022400154,Nov 4,Cleveland Cavaliers,D,Fora,36,2,7,116 - 114,9,5,37:20
0022400182,Nov 7,Utah Jazz,V,Casa,31,16,2,100 - 123,0,0,30:13
0022400182,Nov 7,Utah Jazz,V,Casa,1,5,2,100 - 123,2,0,32:21
0022400182,Nov 7,Utah Jazz,V,Casa,34,4,7,100 - 123,11,4,37:02
0022400189,Nov 8,New York Knicks,D,Fora,24,12,2,116 - 94,1,0,32:12
0022400189,Nov 8,New York Knicks,D,Fora,7,3,1,116 - 94,1,0,24:28
0022400189,Nov 8,New York Knicks,D,Fora,19,6,6,116 - 94,4,0,34:26
0022400202,Nov 10,Boston Celtics,D,Casa,43,13,5,113 - 107,2,1,39:09
0022400202,Nov 10,Boston Celtics,D,Casa,6,1,3,113 - 107,5,2,28:40
0022400202,Nov 10,Boston Celtics,D,Casa,14,4,6,113 - 107,8,1,35:47
0022400005,Nov 12,Toronto Raptors,V,Casa,23,4,7,85 - 99,1,0,33:20
0022400005,Nov 12,Toronto Raptors,V,Casa,13,7,3,85 - 99,10,2,36:51
0022400223,Nov 13,Detroit Pistons,V,Casa,59,14,7,120 - 127,2,1,43:37
0022400223,Nov 13,Detroit Pistons,V,Casa,29,8,0,120 - 127,8,5,40:24
0022400229,Nov 16,Charlotte Hornets,D,Fora,22,15,12,115 - 114,1,0,33:29
0022400229,Nov 16,Charlotte Hornets,D,Fora,5,3,1,115 - 114,5,1,30:26
0022400248,Nov 18,Houston Rockets,V,Casa,20,13,4,100 - 101,0,0,35:35
0022400248,Nov 18,Houston Rockets,V,Casa,27,10,1,100 - 101,8,5,39:38
0022400248,Nov 18,Houston Rockets,V,Casa,18,4,10,100 - 101,6,0,35:37
0022400253,Nov 20,Chicago Bulls,V,Casa,41,9,8,106 - 122,1,0,35:22
0022400253,Nov 20,Chicago Bulls,V,Casa,21,5,3,106 - 122,5,2,34:56
0022400253,Nov 20,Chicago Bulls,V,Casa,20,5,10,106 - 122,10,2,35:37
0022400029,Nov 22,Indiana Pacers,V,Casa,37,10,11,117 - 129,0,0,34:45
0022400029,Nov 22,Indiana Pacers,V,Casa,11,5,3,117 - 129,3,1,32:50
0022400029,Nov 22,Indiana Pacers,V,Casa,24,5,13,117 - 129,8,3,36:49
0022400268,Nov 23,Charlotte Hornets,V,Casa,32,11,6,119 - 125,3,1,31:29
0022400268,Nov 23,Charlotte Hornets,V,Casa,13,8,2,119 - 125,7,3,38:00
0022400268,Nov 23,Charlotte Hornets,V,Casa,31,4,4,119 - 125,9,3,34:42
0022400036,Nov 26,Miami Heat,V,Fora,13,2,3,103 - 106,3,3,29:38
0022400036,Nov 26,Miami Heat,V,Fora,37,3,12,103 - 106,13,8,37:54
