ID,Nome,Altura,Peso,Idade,Experiência,Posição,Universidade,Salário
1631260.0,AJ Green,6-4,190,25.0,2,G,Northern Iowa,
1641748.0,Andre Jackson Jr.,6-6,209,23.0,1,G,Connecticut,
1626171.0,Bobby Portis,6-10,250,30.0,9,F,Arkansas,
201572.0,Brook Lopez,7-1,282,36.0,16,C,Stanford,
1641753.0,Chris Livingston,6-6,220,21.0,1,F,Kentucky,
,Connaughton,,,,,,,"$9,423,869"
203081.0,Damian Lillard,6-2,195,34.0,12,G,Weber State,
1629018.0,Gary Trent Jr.,6-5,204,26.0,6,G,Duke,
203507.0,Giannis Antetokounmpo,6-11,243,30.0,11,F,Filathlitikos,
,Green,,,,,,,"$2,120,693"
1630579.0,Jericho Sims,6-10,250,26.0,3,C,Texas,
1629645.0,Kevin Porter Jr.,6-4,203,24.0,4,G-F,Southern California,
1628398.0,Kyle Kuzma,6-9,221,29.0,7,F,Utah,
1641857.0,Liam Robbins,7-0,250,25.0,0,C,Vanderbilt,
1626192.0,Pat Connaughton,6-5,209,32.0,9,G,Notre Dame,
1631157.0,Ryan Rollins,6-3,180,22.0,2,G,Toledo,
1630649.0,Stanley Umude,6-6,210,25.0,2,G,Arkansas,
1627752.0,Taurean Prince,6-6,218,30.0,8,F,Baylor,
1641890.0,Tyler Smith,6-9,224,20.0,0,F,NBA G League Ignite,
,by Portis,,,,,,,"$12,578,286"
,e Kuzma,,,,,,,"$23,522,727"
,er Smith,,,,,,,"$1,157,153"
,ian Lillard,,,,,,,"$48,787,676"
,icho Sims,,,,,,,"$2,092,344"
,in Porter Jr.,,,,,,,"$2,237,691"
,is Livingston,,,,,,,"$1,891,857"
,m Robbins,,,,,,,--
,n Rollins,,,,,,,--
,nley Umude,,,,,,,"$2,120,693"
,nnis Antetokounmpo,,,,,,,"$48,787,676"
,ok Lopez,,,,,,,"$23,000,000"
,re Jackson Jr.,,,,,,,"$1,891,857"
,rean Prince,,,,,,,"$2,087,519"
,y Trent Jr.,,,,,,,"$2,087,519"
